"Date","Industry","Value"
1944-01-01,"U.S. Postal Service",0.3694
1944-02-01,"U.S. Postal Service",0.3717
1944-03-01,"U.S. Postal Service",0.3712
1944-04-01,"U.S. Postal Service",0.3759
1944-05-01,"U.S. Postal Service",0.3742
1944-06-01,"U.S. Postal Service",0.3805
1944-07-01,"U.S. Postal Service",0.3872
1944-08-01,"U.S. Postal Service",0.3928
1944-09-01,"U.S. Postal Service",0.3967
1944-10-01,"U.S. Postal Service",0.4015
1944-11-01,"U.S. Postal Service",0.4049
1944-12-01,"U.S. Postal Service",0.6477
1945-01-01,"U.S. Postal Service",0.4078
1945-02-01,"U.S. Postal Service",0.4113
1945-03-01,"U.S. Postal Service",0.4147
1945-04-01,"U.S. Postal Service",0.4171
1945-05-01,"U.S. Postal Service",0.4194
1945-06-01,"U.S. Postal Service",0.4215
1945-07-01,"U.S. Postal Service",0.4254
1945-08-01,"U.S. Postal Service",0.4275
1945-09-01,"U.S. Postal Service",0.4297
1945-10-01,"U.S. Postal Service",0.4319
1945-11-01,"U.S. Postal Service",0.4331
1945-12-01,"U.S. Postal Service",0.6233
1946-01-01,"U.S. Postal Service",0.4422
1946-02-01,"U.S. Postal Service",0.4479
1946-03-01,"U.S. Postal Service",0.4518
1946-04-01,"U.S. Postal Service",0.4574
1946-05-01,"U.S. Postal Service",0.4583
1946-06-01,"U.S. Postal Service",0.4589
1946-07-01,"U.S. Postal Service",0.4565
1946-08-01,"U.S. Postal Service",0.4551
1946-09-01,"U.S. Postal Service",0.4536
1946-10-01,"U.S. Postal Service",0.4515
1946-11-01,"U.S. Postal Service",0.4474
1946-12-01,"U.S. Postal Service",0.6792
1947-01-01,"U.S. Postal Service",0.4478
1947-02-01,"U.S. Postal Service",0.448
1947-03-01,"U.S. Postal Service",0.4494
1947-04-01,"U.S. Postal Service",0.4498
1947-05-01,"U.S. Postal Service",0.4514
1947-06-01,"U.S. Postal Service",0.4488
1947-07-01,"U.S. Postal Service",0.4465
1947-08-01,"U.S. Postal Service",0.4454
1947-09-01,"U.S. Postal Service",0.447
1947-10-01,"U.S. Postal Service",0.4511
1947-11-01,"U.S. Postal Service",0.4534
1947-12-01,"U.S. Postal Service",0.6969
1948-01-01,"U.S. Postal Service",0.4549
1948-02-01,"U.S. Postal Service",0.4601
1948-03-01,"U.S. Postal Service",0.4663
1948-04-01,"U.S. Postal Service",0.4668
1948-05-01,"U.S. Postal Service",0.4682
1948-06-01,"U.S. Postal Service",0.4777
1948-07-01,"U.S. Postal Service",0.479
1948-08-01,"U.S. Postal Service",0.4832
1948-09-01,"U.S. Postal Service",0.4859
1948-10-01,"U.S. Postal Service",0.4821
1948-11-01,"U.S. Postal Service",0.4913
1948-12-01,"U.S. Postal Service",0.7446
1949-01-01,"U.S. Postal Service",0.4974
1949-02-01,"U.S. Postal Service",0.4962
1949-03-01,"U.S. Postal Service",0.4964
1949-04-01,"U.S. Postal Service",0.4973
1949-05-01,"U.S. Postal Service",0.5024
1949-06-01,"U.S. Postal Service",0.505
1949-07-01,"U.S. Postal Service",0.5076
1949-08-01,"U.S. Postal Service",0.5088
1949-09-01,"U.S. Postal Service",0.5084
1949-10-01,"U.S. Postal Service",0.5069
1949-11-01,"U.S. Postal Service",0.505
1949-12-01,"U.S. Postal Service",0.7784
1950-01-01,"U.S. Postal Service",0.502
1950-02-01,"U.S. Postal Service",0.5012
1950-03-01,"U.S. Postal Service",0.5002
1950-04-01,"U.S. Postal Service",0.4965
1950-05-01,"U.S. Postal Service",0.4937
1950-06-01,"U.S. Postal Service",0.4878
1950-07-01,"U.S. Postal Service",0.4828
1950-08-01,"U.S. Postal Service",0.4824
1950-09-01,"U.S. Postal Service",0.4825
1950-10-01,"U.S. Postal Service",0.4816
1950-11-01,"U.S. Postal Service",0.4849
1950-12-01,"U.S. Postal Service",0.7823
1951-01-01,"U.S. Postal Service",0.4848
1951-02-01,"U.S. Postal Service",0.4855
1951-03-01,"U.S. Postal Service",0.4848
1951-04-01,"U.S. Postal Service",0.4872
1951-05-01,"U.S. Postal Service",0.4875
1951-06-01,"U.S. Postal Service",0.4854
1951-07-01,"U.S. Postal Service",0.4917
1951-08-01,"U.S. Postal Service",0.4935
1951-09-01,"U.S. Postal Service",0.4944
1951-10-01,"U.S. Postal Service",0.4959
1951-11-01,"U.S. Postal Service",0.4996
1951-12-01,"U.S. Postal Service",0.8467
1952-01-01,"U.S. Postal Service",0.5014
1952-02-01,"U.S. Postal Service",0.5055
1952-03-01,"U.S. Postal Service",0.507
1952-04-01,"U.S. Postal Service",0.5072
1952-05-01,"U.S. Postal Service",0.5094
1952-06-01,"U.S. Postal Service",0.5107
1952-07-01,"U.S. Postal Service",0.5123
1952-08-01,"U.S. Postal Service",0.5133
1952-09-01,"U.S. Postal Service",0.5148
1952-10-01,"U.S. Postal Service",0.5161
1952-11-01,"U.S. Postal Service",0.5118
1952-12-01,"U.S. Postal Service",0.8759
1953-01-01,"U.S. Postal Service",0.5089
1953-02-01,"U.S. Postal Service",0.5095
1953-03-01,"U.S. Postal Service",0.5118
1953-04-01,"U.S. Postal Service",0.5122
1953-05-01,"U.S. Postal Service",0.5138
1953-06-01,"U.S. Postal Service",0.5092
1953-07-01,"U.S. Postal Service",0.5041
1953-08-01,"U.S. Postal Service",0.5013
1953-09-01,"U.S. Postal Service",0.5051
1953-10-01,"U.S. Postal Service",0.5062
1953-11-01,"U.S. Postal Service",0.5075
1953-12-01,"U.S. Postal Service",0.7599
1954-01-01,"U.S. Postal Service",0.5102
1954-02-01,"U.S. Postal Service",0.5077
1954-03-01,"U.S. Postal Service",0.507
1954-04-01,"U.S. Postal Service",0.5076
1954-05-01,"U.S. Postal Service",0.5091
1954-06-01,"U.S. Postal Service",0.5096
1954-07-01,"U.S. Postal Service",0.513
1954-08-01,"U.S. Postal Service",0.5118
1954-09-01,"U.S. Postal Service",0.511
1954-10-01,"U.S. Postal Service",0.5096
1954-11-01,"U.S. Postal Service",0.509
1954-12-01,"U.S. Postal Service",0.7748
1955-01-01,"U.S. Postal Service",0.5101
1955-02-01,"U.S. Postal Service",0.5091
1955-03-01,"U.S. Postal Service",0.5086
1955-04-01,"U.S. Postal Service",0.5102
1955-05-01,"U.S. Postal Service",0.5111
1955-06-01,"U.S. Postal Service",0.5143
1955-07-01,"U.S. Postal Service",0.5161
1955-08-01,"U.S. Postal Service",0.516
1955-09-01,"U.S. Postal Service",0.5136
1955-10-01,"U.S. Postal Service",0.5136
1955-11-01,"U.S. Postal Service",0.5113
1955-12-01,"U.S. Postal Service",0.7575
1956-01-01,"U.S. Postal Service",0.5137
1956-02-01,"U.S. Postal Service",0.5161
1956-03-01,"U.S. Postal Service",0.5162
1956-04-01,"U.S. Postal Service",0.5157
1956-05-01,"U.S. Postal Service",0.5179
1956-06-01,"U.S. Postal Service",0.5114
1956-07-01,"U.S. Postal Service",0.5155
1956-08-01,"U.S. Postal Service",0.5151
1956-09-01,"U.S. Postal Service",0.5186
1956-10-01,"U.S. Postal Service",0.5209
1956-11-01,"U.S. Postal Service",0.5216
1956-12-01,"U.S. Postal Service",0.7714
1957-01-01,"U.S. Postal Service",0.5242
1957-02-01,"U.S. Postal Service",0.5261
1957-03-01,"U.S. Postal Service",0.5293
1957-04-01,"U.S. Postal Service",0.5291
1957-05-01,"U.S. Postal Service",0.531
1957-06-01,"U.S. Postal Service",0.5244
1957-07-01,"U.S. Postal Service",0.5266
1957-08-01,"U.S. Postal Service",0.5267
1957-09-01,"U.S. Postal Service",0.5304
1957-10-01,"U.S. Postal Service",0.5331
1957-11-01,"U.S. Postal Service",0.5362
1957-12-01,"U.S. Postal Service",0.8283
1958-01-01,"U.S. Postal Service",0.5385
1958-02-01,"U.S. Postal Service",0.5393
1958-03-01,"U.S. Postal Service",0.5391
1958-04-01,"U.S. Postal Service",0.5386
1958-05-01,"U.S. Postal Service",0.5374
1958-06-01,"U.S. Postal Service",0.5417
1958-07-01,"U.S. Postal Service",0.5437
1958-08-01,"U.S. Postal Service",0.5457
1958-09-01,"U.S. Postal Service",0.5453
1958-10-01,"U.S. Postal Service",0.5451
1958-11-01,"U.S. Postal Service",0.5447
1958-12-01,"U.S. Postal Service",0.8251
1959-01-01,"U.S. Postal Service",0.5479
1959-02-01,"U.S. Postal Service",0.5483
1959-03-01,"U.S. Postal Service",0.551
1959-04-01,"U.S. Postal Service",0.5518
1959-05-01,"U.S. Postal Service",0.5538
1959-06-01,"U.S. Postal Service",0.5544
1959-07-01,"U.S. Postal Service",0.555
1959-08-01,"U.S. Postal Service",0.5561
1959-09-01,"U.S. Postal Service",0.5579
1959-10-01,"U.S. Postal Service",0.5592
1959-11-01,"U.S. Postal Service",0.561
1959-12-01,"U.S. Postal Service",0.8296
1960-01-01,"U.S. Postal Service",0.5624
1960-02-01,"U.S. Postal Service",0.5633
1960-03-01,"U.S. Postal Service",0.5631
1960-04-01,"U.S. Postal Service",0.5639
1960-05-01,"U.S. Postal Service",0.5645
1960-06-01,"U.S. Postal Service",0.5671
1960-07-01,"U.S. Postal Service",0.5699
1960-08-01,"U.S. Postal Service",0.5707
1960-09-01,"U.S. Postal Service",0.5732
1960-10-01,"U.S. Postal Service",0.5732
1960-11-01,"U.S. Postal Service",0.5738
1960-12-01,"U.S. Postal Service",0.8299
1961-01-01,"U.S. Postal Service",0.5749
1961-02-01,"U.S. Postal Service",0.5756
1961-03-01,"U.S. Postal Service",0.5781
1961-04-01,"U.S. Postal Service",0.5817
1961-05-01,"U.S. Postal Service",0.5833
1961-06-01,"U.S. Postal Service",0.5863
1961-07-01,"U.S. Postal Service",0.5895
1961-08-01,"U.S. Postal Service",0.5892
1961-09-01,"U.S. Postal Service",0.59
1961-10-01,"U.S. Postal Service",0.5859
1961-11-01,"U.S. Postal Service",0.5879
1961-12-01,"U.S. Postal Service",0.7774
1962-01-01,"U.S. Postal Service",0.5875
1962-02-01,"U.S. Postal Service",0.5886
1962-03-01,"U.S. Postal Service",0.5891
1962-04-01,"U.S. Postal Service",0.5893
1962-05-01,"U.S. Postal Service",0.5916
1962-06-01,"U.S. Postal Service",0.592
1962-07-01,"U.S. Postal Service",0.5925
1962-08-01,"U.S. Postal Service",0.5913
1962-09-01,"U.S. Postal Service",0.5936
1962-10-01,"U.S. Postal Service",0.591
1962-11-01,"U.S. Postal Service",0.5902
1962-12-01,"U.S. Postal Service",0.7131
1963-01-01,"U.S. Postal Service",0.5911
1963-02-01,"U.S. Postal Service",0.5912
1963-03-01,"U.S. Postal Service",0.5925
1963-04-01,"U.S. Postal Service",0.592
1963-05-01,"U.S. Postal Service",0.5918
1963-06-01,"U.S. Postal Service",0.5904
1963-07-01,"U.S. Postal Service",0.5911
1963-08-01,"U.S. Postal Service",0.5906
1963-09-01,"U.S. Postal Service",0.5937
1963-10-01,"U.S. Postal Service",0.596
1963-11-01,"U.S. Postal Service",0.5958
1963-12-01,"U.S. Postal Service",0.7084
1964-01-01,"U.S. Postal Service",0.5968
1964-02-01,"U.S. Postal Service",0.5965
1964-03-01,"U.S. Postal Service",0.5963
1964-04-01,"U.S. Postal Service",0.5952
1964-05-01,"U.S. Postal Service",0.594
1964-06-01,"U.S. Postal Service",0.5881
1964-07-01,"U.S. Postal Service",0.5886
1964-08-01,"U.S. Postal Service",0.5932
1964-09-01,"U.S. Postal Service",0.5914
1964-10-01,"U.S. Postal Service",0.5997
1964-11-01,"U.S. Postal Service",0.5988
1964-12-01,"U.S. Postal Service",0.7049
1965-01-01,"U.S. Postal Service",0.6011
1965-02-01,"U.S. Postal Service",0.6009
1965-03-01,"U.S. Postal Service",0.603
1965-04-01,"U.S. Postal Service",0.6035
1965-05-01,"U.S. Postal Service",0.6035
1965-06-01,"U.S. Postal Service",0.5977
1965-07-01,"U.S. Postal Service",0.6056
1965-08-01,"U.S. Postal Service",0.6093
1965-09-01,"U.S. Postal Service",0.6125
1965-10-01,"U.S. Postal Service",0.6168
1965-11-01,"U.S. Postal Service",0.6211
1965-12-01,"U.S. Postal Service",0.7402
1966-01-01,"U.S. Postal Service",0.633
1966-02-01,"U.S. Postal Service",0.6445
1966-03-01,"U.S. Postal Service",0.6517
1966-04-01,"U.S. Postal Service",0.6626
1966-05-01,"U.S. Postal Service",0.6704
1966-06-01,"U.S. Postal Service",0.6767
1966-07-01,"U.S. Postal Service",0.6838
1966-08-01,"U.S. Postal Service",0.6891
1966-09-01,"U.S. Postal Service",0.6936
1966-10-01,"U.S. Postal Service",0.7004
1966-11-01,"U.S. Postal Service",0.711
1966-12-01,"U.S. Postal Service",0.8043
1967-01-01,"U.S. Postal Service",0.7068
1967-02-01,"U.S. Postal Service",0.7024
1967-03-01,"U.S. Postal Service",0.7066
1967-04-01,"U.S. Postal Service",0.7077
1967-05-01,"U.S. Postal Service",0.7085
1967-06-01,"U.S. Postal Service",0.7165
1967-07-01,"U.S. Postal Service",0.7133
1967-08-01,"U.S. Postal Service",0.714
1967-09-01,"U.S. Postal Service",0.7137
1967-10-01,"U.S. Postal Service",0.7147
1967-11-01,"U.S. Postal Service",0.7145
1967-12-01,"U.S. Postal Service",0.8021
1968-01-01,"U.S. Postal Service",0.7237
1968-02-01,"U.S. Postal Service",0.7201
1968-03-01,"U.S. Postal Service",0.7204
1968-04-01,"U.S. Postal Service",0.7203
1968-05-01,"U.S. Postal Service",0.7189
1968-06-01,"U.S. Postal Service",0.73
1968-07-01,"U.S. Postal Service",0.7332
1968-08-01,"U.S. Postal Service",0.7302
1968-09-01,"U.S. Postal Service",0.7255
1968-10-01,"U.S. Postal Service",0.7245
1968-11-01,"U.S. Postal Service",0.7291
1968-12-01,"U.S. Postal Service",0.7655
1969-01-01,"U.S. Postal Service",0.7284
1969-02-01,"U.S. Postal Service",0.7308
1969-03-01,"U.S. Postal Service",0.7309
1969-04-01,"U.S. Postal Service",0.7311
1969-05-01,"U.S. Postal Service",0.7328
1969-06-01,"U.S. Postal Service",0.7376
1969-07-01,"U.S. Postal Service",0.7393
1969-08-01,"U.S. Postal Service",0.7406
1969-09-01,"U.S. Postal Service",0.7399
1969-10-01,"U.S. Postal Service",0.7397
1969-11-01,"U.S. Postal Service",0.7345
1969-12-01,"U.S. Postal Service",0.7648
1970-01-01,"U.S. Postal Service",0.7351
1970-02-01,"U.S. Postal Service",0.7359
1970-03-01,"U.S. Postal Service",0.7359
